CAMMENU_0EV,‫0EV‬
CAMMENU_WB_DAYLIGHT_GUIDE,‫يستخدم من أجل مناظر خارجية‬
CAMMENU_WB_DAYLIGHT_GUIDE_2,‫مشمسة أو مناظر ليلية‬
CAMMENU_WB_FLASH,‫فلاش‬
CAMMENU_WB_FLASH_GUIDE,‫يستخدم عند التسجيل‬
CAMMENU_WB_FLASH_GUIDE_2,‫باستخدام الفلاش‬
CAMMENU_WB_FLUORESCENT1,‫ضوء فلورسنت 1‬
CAMMENU_WB_FLUORESCENT1_GUIDE,‫يستخدم تحت ضوء‬
CAMMENU_WB_FLUORESCENT1_GUIDE_2,‫الفلورسنت الأبيض‬
CAMMENU_WB_FLUORESCENT2,‫ضوء فلورسنت 2‬
CAMMENU_WB_FLUORESCENT2_GUIDE,‫يستخدم تحت ضوء الفلورسنت‬
CAMMENU_WB_FLUORESCENT2_GUIDE_2,‫الأبيض الطبيعي‬
CAMMENU_WB_FLUORESCENT3,‫ضوء فلورسنت 3‬
CAMMENU_WB_FLUORESCENT3_GUIDE,‫يستخدم تحت ضوء الفلورسنت‬
CAMMENU_WB_FLUORESCENT3_GUIDE_2,‫الأبيض في النهار‬
CAMMENU_WB_INCANDESCENT,‫مصباح متوهج‬
CAMMENU_WB_INCANDESCENT_GUIDE,‫يستخدم تحت ضوء متوهج‬
CAMMENU_WB_INCANDESCENT_GUIDE_2,‫أو أضواء الفيديو‬
CAMMODE_AUTO,‫ضبط تلقائي‬
CAMMODE_AUTO_GUIDE,‫للتصوير مع‬
CAMMODE_AUTO_GUIDE_2,‫ضبط تلقائي‬
CAMMODE_BEACH,‫شاطئ‬
CAMMODE_BEACH_GUIDE,‫تصوير منظر مائي‬
CAMMODE_BEACH_GUIDE_2,‫بلون أزرق رائع‬
CAMMODE_COOKING,‫الأطعمة‬
CAMMODE_COOKING_GUIDE,‫تصوير جذاب للطعام‬
CAMMODE_COOKING_GUIDE_2,‫‬
CAMMODE_EASY,‫تصوير سهل‬
CAMMODE_EASY_GUIDE,‫تصوير تلقائي كامل‬
CAMMODE_EASY_GUIDE_2,‫مع عرض مبسط‬
CAMMODE_FIREWORKS,‫العاب نارية‬
CAMMODE_FIREWORKS_GUIDE,‫تصوير ألعاب‬
CAMMODE_FIREWORKS_GUIDE_2,‫نارية بوضوح‬
CAMMODE_HIGHSENSITIVITY,‫حساسية عالية‬
CAMMODE_HIGHSENSITIVITY_GUIDE,‫تصوير بدون فلاش في ضوء خافت‬
CAMMODE_HIGHSENSITIVITY_GUIDE_2,‫يقلل ضبابية الصورة‬
CAMMODE_HIGHSPEEDSHUTTER,‫ غلق سريع‬
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,‫تصوير هدف متحرك‬
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,‫لإيقاف الأداء‬
CAMMODE_LANDSCAPE,‫منظر طبيعي‬
CAMMODE_LANDSCAPE_GUIDE,‫تصوير طبيعة‬
CAMMODE_LANDSCAPE_GUIDE_2,‫بتركيز بعيد‬
CAMMODE_MOVIE,‫وضع الصور المتحركة‬
CAMMODE_MOVIE_GUIDE,‫تصوير أفلام مع الصوت‬
CAMMODE_MOVIE_GUIDE_2,‫متحركة بصوت‬
CAMMODE_PAUTO,‫مبرمج آلي‬
CAMMODE_PAUTO_GUIDE,‫تعريض ضوئي تلقائي‬
CAMMODE_PAUTO_GUIDE_2,‫مع إعدادات قابلة للضبط‬
CAMMODE_SNOW,‫جليد‬
CAMMODE_SNOW_GUIDE,‫تصوير منظر‬
CAMMODE_SNOW_GUIDE_2,‫أبيض بسطوع عالي‬
CAMMODE_SOFTSNAP,‫صورة ناعمة‬
CAMMODE_SOFTSNAP_GUIDE,‫تصوير مع‬
CAMMODE_SOFTSNAP_GUIDE_2,‫خلفية ناعمة‬
CAMMODE_TWILIGHT,‫شفق‬
CAMMODE_TWILIGHTPORTRAIT,‫صورة شفق‬
CAMMODE_TWILIGHTPORTRAIT_GUIDE,‫تصوير صور شخصية‬
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,‫في إضاءة خافتة مع فلاش‬
CAMMODE_TWILIGHTTRIPOD_GUIDE,‫تصوير منظر ذو اضاءة منخفضة‬
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,‫باستخدام حامل ثلاثي الأرجل‬
CAMMODE_WATER,‫تحت الماء‬
CAMMODE_WATER_GUIDE,‫تصوير تحت الماء بألوان طبيعية‬
CAMMODE_WATER_GUIDE_2,‫مع الغطاء‬
CLOCKMENU_APR,‫٤‬
CLOCKMENU_AUG,‫٨‬
CLOCKMENU_DEC,‫١٢‬
CLOCKMENU_DMY,‫س-ش-ي‬
CLOCKMENU_FEB,‫٢‬
CLOCKMENU_JAN,‫١‬
CLOCKMENU_JUL,‫٧‬
CLOCKMENU_JUN,‫٦‬
CLOCKMENU_MAR,‫٣‬
CLOCKMENU_MAY,‫٥‬
CLOCKMENU_MDY,‫س-ي-ش‬
CLOCKMENU_NOV,‫١١‬
CLOCKMENU_OCT,‫١٠‬
CLOCKMENU_SEP,‫٩‬
CLOCKMENU_UNKNOWN,‫---‬
CLOCKMENU_YMD,‫ي-ش-س‬
COM_AUTO,‫تلقائي‬
COM_BACK,‫رجوع‬
COM_CANCEL,‫ إلغاء‬
COM_CLEAR,‫حذف‬
COM_CLEARALL,‫سيتم محو الكل‬
COM_CONTINUE,‫تتابع‬
COM_CREATED,‫تم إنشاء‬
COM_ENTRY,‫ إضافة‬
COM_EXIT,‫خروج‬
COM_FAST,‫سريع‬
COM_HIGH,‫ عالي‬
COM_INTERNALMEMORY,‫ذاكرة داخلية‬
COM_LOW,‫منخفض‬
COM_MED,‫متوسط‬
COM_MIN,‫ق‬
COM_MOVIEREC,‫تسجيل‬
COM_MOVIESTBY,‫ إستعداد‬
COM_MS,‫Memory Stick‬
COM_MS_AND_INTERNALMEMORY,‫Memory Stick ＋ ذاكرة داخلية‬
COM_NOOFFILES,‫ عدد ملفات‬
COM_NORMAL,‫ عادي‬
COM_OFF,‫ إيقاف‬
COM_OK,‫نعم‬
COM_ON,‫تشغيل‬
COM_PREVIEW,‫استعراض‬
COM_REMAIN,‫لقطات متبقية‬
COM_SAVE,‫احفظ‬
COM_SLOW,‫بطيء‬
COM_STANDARD,‫قياسي‬
COM_STANDARD2,‫قياسي‬
COM_START,‫بدء‬
COM_USBMODE,‫وضع USB‬
COM_VOLUME,‫صوت‬
COU_640FINE,‫حجم 640(دقيق)‬
COU_640FINE_2,‫ غير متاح‬
COU_AUDIOPLUGIN,‫من أجل خرج الصوت, صل قابس صوت‬
COU_AUDIOPLUGIN_2,‫‬
COU_BATTERY_HEATED,‫الكاميرا ساخنة للغاية‬
COU_BATTERY_HEATED_2,‫انتظر حتى تبرد‬
COU_BATTERY_INFOLITHIUM,‫من أجل البطارية‬
COU_BATTERY_INFOLITHIUM_2,‫"InfoLITHIUM" فقط‬
COU_BATTERY_INVALID,‫تستخدم فقط مع‬
COU_BATTERY_INVALID_2,‫بطارية متوافقة‬
COU_BGM_ERROR,‫خطأ في تشغيل الموسيقى‬
COU_BGM_ERROR_2,‫‬
COU_BGM_FORMATERROR,‫خطأ بتهيئة الموسيقى‬
COU_BGM_FORMATERROR_2,‫‬
COU_BURST_INVALID,‫التتابع غير متاح‬
COU_BURST_INVALID_2,‫‬
COU_CANNOTACCESS_MS,‫لايمكن الوصول الى Memory Stick‬
COU_CANNOTACCESS_MS_2,‫الوصول مرفوض‬
COU_CANNOTCREATE_FOLDERS,‫لايمكن عمل مجلدات أخرى‬
COU_CANNOTCREATE_FOLDERS_2,‫‬
COU_DATA_ERROR,‫خطأ في ملف معاملة الصورة‬
COU_DATA_ERROR_2,‫‬
COU_ERROR10,‫خطأ10‬
COU_ERROR20,‫خطأ20‬
COU_ERROR30,‫خطأ30‬
COU_ERROR40,‫خطأ40‬
COU_ERROR50,‫خطأ50‬
COU_EXCEEDED_LIMIT,‫تم إختيار الحد الأقصى لعدد الصور‬
COU_EXCEEDED_LIMIT_2,‫‬
COU_FILEERROR,‫خطأ في الملف‬
COU_FILEERROR_2,‫‬
COU_FILEPROTECT,‫المجلد محمي‬
COU_FILEPROTECT_2,‫‬
COU_FLASHSETTING_INVALID,‫لايمكن تغيير تهيئات الفلاش‬
COU_FLASHSETTING_INVALID_2,‫‬
COU_FOLDER_ERROR,‫خطأ في المجلد‬
COU_FOLDER_ERROR_2,‫‬
COU_FORMATERROR_INTERNALMEMORY,‫خطأ في تهيئة الذاكرة الداخلية‬
COU_FORMATERROR_INTERNALMEMORY_2,‫‬
COU_FORMATERROR_MS,‫خطأ في تهيئة Memory Stick‬
COU_FORMATERROR_MS_2,‫‬
COU_IMAGESIZEOVER,‫حجم الصورة أكبر من اللازم‬
COU_IMAGESIZEOVER_2,‫‬
COU_INKERROR,‫خطأ في الحبر‬
COU_INKERROR_2,‫‬
COU_INVALID_FILE,‫ملف غير صحيح‬
COU_INVALID_FILE_2,‫‬
COU_INVALID_FOLDER,‫التشغيل غير متاح مع عرض المجلد‬
COU_INVALID_FOLDER_2,‫‬
COU_INVALID_MS,‫لايمكن حفظ ملف معاملة الصورة‬
COU_INVALID_MS_2,‫في Memory Stick هذا‬
COU_INVALID_OPERATION,‫ عملية تشغيل غير صحيحة‬
COU_INVALID_OPERATION_HDOUT,‫لايمكن تنفيذ العملية أثناء‬
COU_INVALID_OPERATION_HDOUT_2,‫خرج تحليل عالى (HD(1080i‬
COU_INVALID_OPERATION_MOVIEFILE,‫لايمكن تنفيذ العملية من أجل‬
COU_INVALID_OPERATION_MOVIEFILE_2,‫ملفات الأفلام‬
COU_INVALID_OPERATION_NGFILE,‫لايمكن تنفيذ العملية‬
COU_INVALID_OPERATION_NGFILE_2,‫في ملفات غير مدعمة‬
COU_INVALID_OPERATION_PICTBRIDGE,‫لايمكن تنفيذ العملية عند استخدام‬
COU_INVALID_OPERATION_PICTBRIDGE_2,‫توصيل PictBridge‬
