CAMMENU_0EV,‫0EV‬
CAMMENU_WB_CLOUDY_GUIDE,‫استفاده در روزهای ابری یا‬
CAMMENU_WB_CLOUDY_GUIDE_2,‫در سایه‬
CAMMENU_WB_DAYLIGHT,‫نور روز‬
CAMMENU_WB_DAYLIGHT_GUIDE,‫استفاده برای  صحنه های آفتابی‬
CAMMENU_WB_DAYLIGHT_GUIDE_2,‫فضای بیرون یا صحنه شب‬
CAMMENU_WB_FLASH,‫فلاش‬
CAMMENU_WB_FLASH_GUIDE,‫استفاده هنگام تصویربرداری با فلاش‬
CAMMENU_WB_FLASH_GUIDE_2,‫‬
CAMMENU_WB_FLUORESCENT1,‫نور فلوئورسنت 1‬
CAMMENU_WB_FLUORESCENT1_GUIDE,‫استفاده تحت نور فلوئورسنت سفید‬
CAMMENU_WB_FLUORESCENT1_GUIDE_2,‫‬
CAMMENU_WB_FLUORESCENT2,‫نور فلوئورسنت 2‬
CAMMENU_WB_FLUORESCENT2_GUIDE,‫استفاده تحت نور فلوئورسنت سفید‬
CAMMENU_WB_FLUORESCENT2_GUIDE_2,‫طبیعی‬
CAMMENU_WB_FLUORESCENT3,‫نور فلوئورسنت 3‬
CAMMENU_WB_FLUORESCENT3_GUIDE,‫استفاده تحت نور فلوئورسنت سفید‬
CAMMENU_WB_FLUORESCENT3_GUIDE_2,‫روز‬
CAMMENU_WB_INCANDESCENT,‫نور سفید‬
CAMMENU_WB_INCANDESCENT_GUIDE,‫استفاده تحت نور درخشان‬
CAMMENU_WB_INCANDESCENT_GUIDE_2,‫یا نورهای پروژکتور‬
CAMMODE_AUTO,‫تنظیم خودکار‬
CAMMODE_AUTO_GUIDE,‫برای عکاسی در حالت خودکار‬
CAMMODE_AUTO_GUIDE_2,‫‬
CAMMODE_BEACH,‫ساحل‬
CAMMODE_BEACH_GUIDE,‫گرفتن صحنه ساحل‬
CAMMODE_BEACH_GUIDE_2,‫با رنگ آبی پر‬
CAMMODE_COOKING,‫تشخیص خوراکیها‬
CAMMODE_COOKING_GUIDE,‫تصویربرداری طبیعی از خوراکیها‬
CAMMODE_COOKING_GUIDE_2,‫‬
CAMMODE_EASY,‫تصویربرداری آسان‬
CAMMODE_EASY_GUIDE,‫تصویربرداری تمام خودکار‬
CAMMODE_EASY_GUIDE_2,‫با نمایش ساده شده‬
CAMMODE_FIREWORKS,‫آتش بازی‬
CAMMODE_FIREWORKS_GUIDE,‫گرفتن صحنه آتش بازی‬
CAMMODE_FIREWORKS_GUIDE_2,‫با همه شکوهش‬
CAMMODE_HIGHSENSITIVITY,‫حساسیت بالا‬
CAMMODE_HIGHSENSITIVITY_GUIDE,‫ عکاسی درنورکم بدون فلاش برای‬
CAMMODE_HIGHSENSITIVITY_GUIDE_2,‫کاهش تاری‬
CAMMODE_HIGHSPEEDSHUTTER,‫دیافراگم تند‬
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,‫گرفتن سوژه متحرک و سریع‬
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,‫جهت توقف حرکت‬
CAMMODE_LANDSCAPE,‫منظره‬
CAMMODE_LANDSCAPE_GUIDE,‫ عکاسی ازمنظره با فوکوس دور‬
CAMMODE_LANDSCAPE_GUIDE_2,‫‬
CAMMODE_MOVIE,‫وضعیت فیلم‬
CAMMODE_MOVIE_GUIDE,‫ضبط فیلم‬
CAMMODE_MOVIE_GUIDE_2,‫با صدا‬
CAMMODE_PAUTO,‫خودکار برنامه ای‬
CAMMODE_PAUTO_GUIDE,‫نوردهی خودکار‬
CAMMODE_PAUTO_GUIDE_2,‫با تنظیمات قابل تنظیم‬
CAMMODE_SNOW,‫برف‬
CAMMODE_SNOW_GUIDE,‫گرفتن روشن‬
CAMMODE_SNOW_GUIDE_2,‫صحنه سفید‬
CAMMODE_SOFTSNAP,‫ عکاسی با زمینه ملایم‬
CAMMODE_SOFTSNAP_GUIDE,‫ عکاسی سوژه با زمینه ملایم‬
CAMMODE_SOFTSNAP_GUIDE_2,‫‬
CAMMODE_TWILIGHT,‫تاریک و روشن‬
CAMMODE_TWILIGHTPORTRAIT,‫چهره درتاریک روشن‬
CAMMODE_TWILIGHTPORTRAIT_GUIDE,‫ عکاسی چهره درنورکم با فلاش‬
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,‫‬
CAMMODE_TWILIGHTTRIPOD_GUIDE,‫صحنه با نور کم را با استفاده از‬
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,‫یک سه پایه تصویربرداری کنید‬
CAMMODE_WATER,‫زیر آب‬
CAMMODE_WATER_GUIDE,‫تصویربرداری زیر آب در رنگ های‬
CAMMODE_WATER_GUIDE_2,‫طبیعی با پوشش‬
CLOCKMENU_APR,‫آوریل‬
CLOCKMENU_AUG,‫اوت‬
CLOCKMENU_DEC,‫دسمبر‬
CLOCKMENU_DMY,‫س-م-ر‬
CLOCKMENU_FEB,‫فوریه‬
CLOCKMENU_JAN,‫ژانویه‬
CLOCKMENU_JUL,‫جولای‬
CLOCKMENU_JUN,‫ژوئن‬
CLOCKMENU_MAR,‫مارس‬
CLOCKMENU_MAY,‫می‬
CLOCKMENU_MDY,‫س-ر-م‬
CLOCKMENU_NOV,‫نوامبر‬
CLOCKMENU_OCT,‫اکتبر‬
CLOCKMENU_SEP,‫سپتام‬
CLOCKMENU_UNKNOWN,‫---‬
CLOCKMENU_YMD,‫ر-م-س‬
COM_AUTO,‫خودکار‬
COM_BACK,‫ عقب‬
COM_CANCEL,‫لغو‬
COM_CLEAR,‫حذف‬
COM_CLEARALL,‫همه را پاک کنید‬
COM_CONTINUE,‫ادامه‬
COM_CREATED,‫ایجاد شده‬
COM_ENTRY,‫اضافه‬
COM_EXIT,‫خروج‬
COM_FAST,‫سریع‬
COM_HIGH,‫زیاد‬
COM_INTERNALMEMORY,‫حافظه داخلی‬
COM_LOW,‫کم‬
COM_MED,‫متوسط‬
COM_MIN,‫دقی‬
COM_MOVIEREC,‫ضبط‬
COM_MOVIESTBY,‫آماده‬
COM_MS,‫Memory Stick‬
COM_MS_AND_INTERNALMEMORY,‫Memory Stick ＋ حافظه داخلی‬
COM_NOOFFILES,‫تعداد فایل ها‬
COM_NORMAL,‫ عادی‬
COM_OFF,‫خاموش‬
COM_OK,‫تأیید‬
COM_ON,‫روشن‬
COM_PREVIEW,‫پيش نمايش‬
COM_REMAIN,‫ عکس های باقیمانده‬
COM_SAVE,‫ذخیره‬
COM_SLOW,‫کند‬
COM_STANDARD,‫استاندارد‬
COM_STANDARD2,‫استاندارد‬
COM_START,‫شروع‬
COM_USBMODE,‫وضعیت USB‬
COM_VOLUME,‫صدا‬
COU_640FINE,‫640(دقیق) در دسترس نیست‬
COU_640FINE_2,‫‬
COU_AUDIOPLUGIN,‫برای خروجی صوتی، یک  اتصال صوتی‬
COU_AUDIOPLUGIN_2,‫را وصل کنید‬
COU_BATTERY_HEATED,‫گرم شدن بیش از حد دوربین‬
COU_BATTERY_HEATED_2,‫اجازه دهید خنک شود‬
COU_BATTERY_INFOLITHIUM,‫فقط برای باطری "InfoLITHIUM"‬
COU_BATTERY_INFOLITHIUM_2,‫‬
COU_BATTERY_INVALID,‫فقط برای استفاده‬
COU_BATTERY_INVALID_2,‫با باطری قابل انطباق‬
COU_BGM_ERROR,‫خطای موزیک‬
COU_BGM_ERROR_2,‫‬
COU_BGM_FORMATERROR,‫خطای فرمت موزیک‬
COU_BGM_FORMATERROR_2,‫‬
COU_BURST_INVALID,‫زنجیره ای فاقد اعتبار است‬
COU_BURST_INVALID_2,‫‬
COU_CANNOTACCESS_MS,‫ عدم دسترسی به Memory Stick‬
COU_CANNOTACCESS_MS_2,‫از دسترسى ممانعت شده است‬
COU_CANNOTCREATE_FOLDERS,‫نمی توان پرونده های دیگری ایجاد‬
COU_CANNOTCREATE_FOLDERS_2,‫نمود‬
COU_DATA_ERROR,‫خطای فایل مدیریت تصویر‬
COU_DATA_ERROR_2,‫‬
COU_ERROR10,‫خطای 10‬
COU_ERROR20,‫خطای 20‬
COU_ERROR30,‫خطای 30‬
COU_ERROR40,‫خطای 40‬
COU_ERROR50,‫خطای 50‬
COU_EXCEEDED_LIMIT,‫حداکثر تصاویر انتخاب شده‬
COU_EXCEEDED_LIMIT_2,‫‬
COU_FILEERROR,‫خطای فایل‬
COU_FILEERROR_2,‫‬
COU_FILEPROTECT,‫محافظت فایل‬
COU_FILEPROTECT_2,‫‬
COU_FLASHSETTING_INVALID,‫تنظيمات فلاش نمى توانند تغيير داده‬
COU_FLASHSETTING_INVALID_2,‫شوند‬
COU_FOLDER_ERROR,‫خطای پرونده‬
COU_FOLDER_ERROR_2,‫‬
COU_FORMATERROR_INTERNALMEMORY,‫خطای فرمت کردن حافظه داخلی‬
COU_FORMATERROR_INTERNALMEMORY_2,‫‬
COU_FORMATERROR_MS,‫خطای فرمت کردن Memory Stick‬
COU_FORMATERROR_MS_2,‫‬
COU_IMAGESIZEOVER,‫اندازه تصویر بیش از حد‬
COU_IMAGESIZEOVER_2,‫‬
COU_INKERROR,‫خطای جوهر‬
COU_INKERROR_2,‫‬
COU_INVALID_FILE,‫فایل غیرمعتبر‬
COU_INVALID_FILE_2,‫‬
COU_INVALID_FOLDER,‫ عملکرد با مشاهده پرونده قابل‬
COU_INVALID_FOLDER_2,‫دسترس نیست‬
COU_INVALID_MS,‫فایل مدیریت تصویر را نمی توان بر روی‬
COU_INVALID_MS_2,‫ این Memory Stick ذخیره کرد‬
COU_INVALID_OPERATION,‫ عمل غیر معتبر‬
COU_INVALID_OPERATION_HDOUT,‫ عملکرد نمی تواند در خلال خروجی‬
COU_INVALID_OPERATION_HDOUT_2,‫(HD(1080i اجرا شود‬
COU_INVALID_OPERATION_MOVIEFILE,‫ عملکرد نمی تواند برای فایل های فیلم‬
COU_INVALID_OPERATION_MOVIEFILE_2,‫اجرا شود‬
COU_INVALID_OPERATION_NGFILE,‫ عملکرد نمی تواند در فایل های‬
